BirthPlace,MLB,NBA,NFL,Total,Rank
"Chicago, IL",2.0,1.0,1.0,4.0,1.0
"Los Angeles, CA",1.0,3.0,2.0,6.0,2.0
"Houston, TX",3.0,9.0,3.0,15.0,3.0
"New York, NY",4.0,4.0,12.0,20.0,4.0
"Dallas, TX",8.0,10.0,6.0,24.0,5.0
"Philadelphia, PA",12.0,2.0,10.0,24.0,5.0
"Detroit, MI",14.0,6.0,5.0,25.0,7.0
"St. Louis, MO",11.0,15.0,11.0,37.0,8.0
"Brooklyn, NY",9.0,5.0,23.0,37.0,8.0
"Atlanta, GA",19.0,7.0,12.0,38.0,10.0
"Cleveland, OH",21.0,16.0,7.0,44.0,11.0
"Baltimore, MD",18.0,8.0,21.0,47.0,12.0
"Cincinnati, OH",6.0,30.0,14.0,50.0,13.0
"San Francisco, CA",10.0,23.0,19.0,52.0,14.0
"Pittsburgh, PA",16.0,29.0,9.0,54.0,15.0
"San Diego, CA",5.0,35.0,16.0,56.0,16.0
"New Orleans, LA",35.0,14.0,8.0,57.0,17.0
"Miami, FL",14.0,42.0,4.0,60.0,18.0
"Memphis, TN",35.0,11.0,17.0,63.0,19.0
"Oakland, CA",13.0,23.0,29.0,65.0,20.0
"Birmingham, AL",35.0,18.0,15.0,68.0,21.0
"Seattle, WA",23.0,20.0,39.0,82.0,22.0
"Dayton, OH",31.0,20.0,32.0,83.0,23.0
"Louisville, KY",43.0,12.0,28.0,83.0,23.0
"Columbus, OH",41.0,25.0,18.0,84.0,25.0
"Long Beach, CA",7.0,34.0,47.0,88.0,26.0
"Indianapolis, IN",43.0,13.0,33.0,89.0,27.0
"Milwaukee, WI",51.0,16.0,26.0,93.0,28.0
"Portland, OR",26.0,25.0,42.0,93.0,28.0
"Boston, MA",22.0,39.0,33.0,94.0,30.0
"Baton Rouge, LA",45.0,22.0,27.0,94.0,30.0
"Jacksonville, FL",26.0,48.0,20.0,94.0,30.0
"Minneapolis, MN",51.0,25.0,22.0,98.0,33.0
"San Antonio, TX",35.0,48.0,24.0,107.0,34.0
"Sacramento, CA",16.0,56.0,39.0,111.0,35.0
"Oklahoma City, OK",31.0,48.0,38.0,117.0,36.0
"Fort Worth, TX",29.0,74.0,25.0,128.0,37.0
"Tulsa, OK",26.0,44.0,60.0,130.0,38.0
"Denver, CO",23.0,81.0,30.0,134.0,39.0
"Buffalo, NY",47.0,39.0,49.0,135.0,40.0
"Kansas City, MO",35.0,56.0,48.0,139.0,41.0
"Toledo, OH",66.0,37.0,42.0,145.0,42.0
"Tampa, FL",20.0,97.0,30.0,147.0,43.0
"San Jose, CA",23.0,64.0,68.0,155.0,44.0
"Mobile, AL",66.0,56.0,36.0,158.0,45.0
"Shreveport, LA",60.0,64.0,35.0,159.0,46.0
"Fresno, CA",29.0,74.0,61.0,164.0,47.0
"Charlotte, NC",66.0,42.0,71.0,179.0,48.0
"Jersey City, NJ",47.0,39.0,93.0,179.0,48.0
"Salt Lake City, UT",80.0,48.0,54.0,182.0,50.0
"Bronx, NY",66.0,18.0,99.0,183.0,51.0
"Richmond, VA",100.0,44.0,42.0,186.0,52.0
"Bakersfield, CA",47.0,81.0,62.0,190.0,53.0
"Phoenix, AZ",66.0,81.0,46.0,193.0,54.0
"Omaha, NE",47.0,97.0,53.0,197.0,55.0
"Little Rock, AR",90.0,56.0,54.0,200.0,56.0
"Newark, NJ",129.0,25.0,49.0,203.0,57.0
"Inglewood, CA",51.0,64.0,97.0,212.0,58.0
"Grand Rapids, MI",60.0,81.0,76.0,217.0,59.0
"Las Vegas, NV",90.0,56.0,74.0,220.0,60.0
"Orlando, FL",72.0,81.0,68.0,221.0,61.0
"Riverside, CA",66.0,56.0,114.0,236.0,62.0
"Tacoma, WA",80.0,81.0,79.0,240.0,63.0
"Flint, MI",141.0,30.0,75.0,246.0,64.0
"Jackson, MS",167.0,30.0,56.0,253.0,65.0
"Wichita, KS",57.0,116.0,81.0,254.0,66.0
"Pasadena, CA",51.0,116.0,88.0,255.0,67.0
