,College,MLB,NBA,NFL,Total,Rank,conference_College
0,University of Michigan,5.0,9.0,4.0,18.0,1.0,Big Ten
1,University of California-Los Angeles,6.0,2.0,12.0,20.0,2.0,Pac-12
2,University of Notre Dame,17.0,7.0,1.0,25.0,3.0,Independent
3,University of Southern California,2.0,22.0,2.0,26.0,4.0,Pac-12
4,Louisiana State University,8.0,19.0,7.0,34.0,5.0,SEC
5,Ohio State University,28.0,16.0,3.0,47.0,6.0,Big Ten
6,University of North Carolina at Chapel Hill,13.0,3.0,35.0,51.0,7.0,ACC
7,University of Illinois,15.0,19.0,24.0,58.0,8.0,Big Ten
8,University of Texas,1.0,41.0,17.0,59.0,9.0,Big 12
9,Florida State University,10.0,33.0,21.0,64.0,10.0,ACC
10,University of Florida,15.0,39.0,13.0,67.0,11.0,SEC
11,University of Arizona,7.0,10.0,51.0,68.0,12.0,Pac-12
12,Stanford University,4.0,36.0,28.0,68.0,12.0,Pac-12
13,University of Alabama,11.0,47.0,10.0,68.0,12.0,SEC
14,University of Tennessee,33.0,27.0,11.0,71.0,15.0,SEC
15,University of California-Berkeley,13.0,33.0,27.0,73.0,16.0,Pac-12
16,Michigan State University,50.0,11.0,15.0,76.0,17.0,Big Ten
17,Arizona State University,3.0,52.0,26.0,81.0,18.0,Pac-12
18,University of Oklahoma,11.0,70.0,8.0,89.0,19.0,Big 12
19,University of Minnesota,55.0,11.0,29.0,95.0,20.0,Big Ten
20,University of Arkansas,26.0,41.0,30.0,97.0,21.0,SEC
21,North Carolina State University,41.0,16.0,55.0,112.0,22.0,ACC
22,University of Kentucky,59.0,1.0,52.0,112.0,22.0,SEC
23,Auburn University,26.0,66.0,23.0,115.0,24.0,SEC
24,Indiana University,71.0,6.0,40.0,117.0,25.0,Big Ten
25,University of Miami,17.0,96.0,9.0,122.0,26.0,
26,Duke University,45.0,4.0,76.0,125.0,27.0,ACC
27,Texas A&M University,22.0,84.0,19.0,125.0,27.0,SEC
28,Clemson University,22.0,70.0,34.0,126.0,29.0,ACC
29,Oklahoma State University,17.0,63.0,47.0,127.0,30.0,Big 12
30,Syracuse University,86.0,14.0,31.0,131.0,31.0,ACC
31,University of South Carolina,25.0,58.0,50.0,133.0,32.0,SEC
32,University of Georgia,39.0,78.0,18.0,135.0,33.0,SEC
33,University of Maryland,79.0,21.0,38.0,138.0,34.0,Big Ten
34,University of Missouri,50.0,50.0,42.0,142.0,35.0,SEC
35,University of Wisconsin at Madison,75.0,52.0,16.0,143.0,36.0,Big Ten
36,University of Iowa,79.0,39.0,25.0,143.0,36.0,Big Ten
37,University of Washington,93.0,30.0,20.0,143.0,36.0,Pac-12
38,Villanova University,45.0,14.0,85.0,144.0,39.0,CAA
39,University of Virginia,50.0,51.0,43.0,144.0,39.0,ACC
40,University of Kansas,86.0,5.0,57.0,148.0,41.0,Big 12
41,Oregon State University,63.0,41.0,47.0,151.0,42.0,Pac-12
42,Baylor University,36.0,78.0,39.0,153.0,43.0,Big 12
43,Boston College,75.0,52.0,35.0,162.0,44.0,ACC
44,Wake Forest University,54.0,41.0,68.0,163.0,45.0,ACC
45,University of Nebraska,41.0,120.0,6.0,167.0,46.0,Big Ten
46,Purdue University,122.0,24.0,22.0,168.0,47.0,Big Ten
47,University of Houston,71.0,47.0,60.0,178.0,48.0,American
48,Mississippi State University,28.0,96.0,55.0,179.0,49.0,SEC
49,Washington State University,50.0,88.0,45.0,183.0,50.0,Pac-12
50,University of Oregon,111.0,41.0,32.0,184.0,51.0,Pac-12
51,Pennsylvania State University,71.0,109.0,5.0,185.0,52.0,Big Ten
52,Georgetown University,55.0,18.0,113.0,186.0,53.0,Patriot
53,Vanderbilt University,71.0,56.0,79.0,206.0,54.0,SEC
54,Brigham Young University,83.0,66.0,58.0,207.0,55.0,Independent
55,West Virginia University,79.0,88.0,41.0,208.0,56.0,Big 12
