College,BirthPlace,MLB_score,NBA_score,NFL_score,Total,Rank
University of Michigan,"Chicago, IL",26.5,52.5,14.0,22.0,1.0
University of California-Los Angeles,"Chicago, IL",37.0,3.5,100.0,24.0,2.0
University of Michigan,"Los Angeles, CA",17.5,81.5,21.5,24.0,2.0
University of California-Los Angeles,"Los Angeles, CA",26.5,12.5,118.0,26.0,4.0
University of Notre Dame,"Chicago, IL",158.5,33.5,1.5,29.0,5.0
University of Southern California,"Chicago, IL",6.5,149.5,4.5,30.0,6.0
University of Notre Dame,"Los Angeles, CA",152.0,52.5,4.5,31.0,7.0
University of Southern California,"Los Angeles, CA",3.0,158.0,8.5,32.0,8.0
University of Michigan,"Houston, TX",37.0,133.0,29.0,33.0,9.0
University of California-Los Angeles,"Houston, TX",49.0,66.0,131.5,35.0,10.0
University of Michigan,"New York, NY",49.0,97.5,138.5,38.0,11.0
Louisiana State University,"Chicago, IL",61.5,140.0,37.0,38.0,11.0
University of Notre Dame,"Houston, TX",164.0,129.0,8.5,40.0,13.0
Louisiana State University,"Los Angeles, CA",49.0,144.5,47.0,40.0,13.0
University of California-Los Angeles,"New York, NY",61.5,19.0,165.0,40.0,13.0
University of Southern California,"Houston, TX",11.0,174.0,14.0,41.0,16.0
University of Michigan,"Philadelphia, PA",147.5,66.0,118.0,42.0,17.0
University of Michigan,"Dallas, TX",101.5,136.5,58.5,42.0,17.0
University of Michigan,"Detroit, MI",158.5,125.0,47.0,43.0,19.0
University of California-Los Angeles,"Philadelphia, PA",152.0,7.5,156.5,44.0,20.0
University of California-Los Angeles,"Dallas, TX",119.5,81.5,145.0,44.0,20.0
University of Notre Dame,"New York, NY",168.0,66.0,100.0,45.0,22.0
University of California-Los Angeles,"Detroit, MI",164.0,33.5,141.5,45.0,22.0
University of Southern California,"New York, NY",17.5,162.0,118.0,46.0,24.0
University of Notre Dame,"Philadelphia, PA",189.5,42.0,71.0,49.0,25.0
Louisiana State University,"Houston, TX",73.5,166.5,58.5,49.0,25.0
University of Notre Dame,"Dallas, TX",180.0,130.5,29.0,49.0,25.0
University of Notre Dame,"Detroit, MI",196.0,97.5,21.5,50.0,28.0
University of Southern California,"Dallas, TX",61.5,178.0,37.0,50.0,28.0
University of Southern California,"Philadelphia, PA",119.5,154.0,84.0,50.0,28.0
University of Southern California,"Detroit, MI",142.0,166.5,29.0,51.0,31.0
Ohio State University,"Chicago, IL",192.0,130.5,8.5,51.0,31.0
Ohio State University,"Los Angeles, CA",189.5,136.5,14.0,53.0,33.0
Louisiana State University,"New York, NY",86.5,149.5,148.5,54.0,34.0
University of Michigan,"St. Louis, MO",142.0,154.0,131.5,55.0,35.0
University of Michigan,"Brooklyn, NY",119.5,113.5,173.0,55.0,35.0
University of North Carolina at Chapel Hill,"Chicago, IL",134.0,7.5,198.0,55.0,35.0
University of California-Los Angeles,"Brooklyn, NY",134.0,26.0,195.5,57.0,38.0
University of North Carolina at Chapel Hill,"Los Angeles, CA",119.5,19.0,201.0,57.0,38.0
University of California-Los Angeles,"Atlanta, GA",180.0,42.0,165.0,58.0,40.0
Louisiana State University,"Dallas, TX",142.0,169.5,100.0,58.0,40.0
Louisiana State University,"Detroit, MI",172.0,158.0,84.0,59.0,42.0
Ohio State University,"Houston, TX",196.0,158.0,21.5,62.0,43.0
University of Notre Dame,"Brooklyn, NY",184.5,81.5,165.0,62.0,43.0
University of Michigan,"Cleveland, OH",184.5,158.0,71.0,62.0,43.0
University of Notre Dame,"St. Louis, MO",187.0,144.5,84.0,62.0,43.0
University of Southern California,"Brooklyn, NY",73.5,164.0,168.5,63.0,47.0
University of Southern California,"St. Louis, MO",101.5,192.5,100.0,63.0,47.0
University of Notre Dame,"Atlanta, GA",207.5,113.5,100.0,63.0,47.0
University of Texas,"Chicago, IL",3.0,205.0,145.0,63.0,47.0
University of Southern California,"Atlanta, GA",168.0,169.5,118.0,64.0,51.0
University of Texas,"Los Angeles, CA",1.0,210.0,148.5,65.0,52.0
University of North Carolina at Chapel Hill,"Houston, TX",142.0,81.5,203.5,66.0,53.0
University of California-Los Angeles,"Baltimore, MD",176.0,52.5,192.0,67.0,54.0
Ohio State University,"New York, NY",200.5,140.0,131.5,67.0,54.0
Florida State University,"Chicago, IL",86.5,182.0,156.5,68.0,56.0
University of Michigan,"Cincinnati, OH",73.5,198.5,145.0,68.0,56.0
University of Notre Dame,"Cleveland, OH",211.0,149.5,37.0,69.0,58.0
