League,College,Count,LeagueTotal,Percentage,Rank
MLB,University of Texas,107,7540,1.4190981432360743,1.0
NBA,University of Kentucky,109,4371,2.493708533516358,1.0
NFL,University of Notre Dame,523,24459,2.1382722106382106,1.0
MLB,University of Southern California,105,7540,1.3925729442970822,2.0
NBA,University of California-Los Angeles,94,4371,2.1505376344086025,2.0
NFL,University of Southern California,465,24459,1.9011406844106464,2.0
MLB,Arizona State University,101,7540,1.339522546419098,3.0
NBA,University of North Carolina at Chapel Hill,93,4371,2.127659574468085,3.0
NFL,Ohio State University,422,24459,1.7253362770350382,3.0
MLB,Stanford University,86,7540,1.1405835543766578,4.0
NBA,Duke University,77,4371,1.7616106154198123,4.0
NFL,University of Michigan,353,24459,1.443231530316039,4.0
MLB,University of Michigan,76,7540,1.0079575596816976,5.0
NBA,University of Kansas,71,4371,1.62434225577671,5.0
NFL,Pennsylvania State University,345,24459,1.4105237335949956,5.0
MLB,University of California-Los Angeles,70,7540,0.9283819628647214,6.0
NBA,Indiana University,66,4371,1.5099519560741248,6.0
NFL,University of Nebraska,335,24459,1.3696389876936914,6.0
MLB,University of Arizona,68,7540,0.9018567639257294,7.0
NBA,University of Notre Dame,57,4371,1.3040494166094716,7.0
NFL,Louisiana State University,330,24459,1.3491966147430394,7.0
MLB,Louisiana State University,66,7540,0.8753315649867375,8.0
NBA,University of Louisville,56,4371,1.2811713566689544,8.0
NFL,University of Oklahoma,325,24459,1.3287542417923872,8.0
MLB,College of the Holy Cross,64,7540,0.8488063660477453,9.0
NBA,University of Michigan,54,4371,1.2354152367879203,9.0
NFL,University of Miami,316,24459,1.2919579704812134,9.0
MLB,Florida State University,61,7540,0.8090185676392574,10.0
NBA,University of Arizona,51,4371,1.1667810569663692,10.0
NFL,University of Alabama,315,24459,1.287869495891083,10.0
MLB,University of Alabama,60,7540,0.7957559681697612,11.0
MLB,University of Oklahoma,60,7540,0.7957559681697612,11.0
NBA,Michigan State University,48,4371,1.0981468771448182,11.0
NBA,St. John's University,48,4371,1.0981468771448182,11.0
NBA,University of Minnesota,48,4371,1.0981468771448182,11.0
NFL,University of Tennessee,307,24459,1.2551616991700396,11.0
MLB,University of California-Berkeley,58,7540,0.7692307692307693,12.0
MLB,University of North Carolina at Chapel Hill,58,7540,0.7692307692307693,12.0
NBA,Syracuse University,47,4371,1.0752688172043012,12.0
NBA,Villanova University,47,4371,1.0752688172043012,12.0
NFL,University of California-Los Angeles,300,24459,1.2265423770391268,12.0
MLB,University of Florida,57,7540,0.7559681697612732,13.0
MLB,University of Illinois,57,7540,0.7559681697612732,13.0
NBA,North Carolina State University,45,4371,1.029512697323267,13.0
NBA,Ohio State University,45,4371,1.029512697323267,13.0
NFL,University of Florida,299,24459,1.2224539024489964,13.0
MLB,Oklahoma State University,54,7540,0.7161803713527852,14.0
MLB,University of Miami,54,7540,0.7161803713527852,14.0
MLB,University of Notre Dame,54,7540,0.7161803713527852,14.0
NBA,Georgetown University,44,4371,1.00663463738275,14.0
NFL,University of Pittsburgh,296,24459,1.210188478678605,14.0
MLB,California State University-Fullerton,53,7540,0.7029177718832891,15.0
NBA,Louisiana State University,42,4371,0.9608785175017158,15.0
NBA,University of Illinois,42,4371,0.9608785175017158,15.0
NFL,Michigan State University,289,24459,1.181569156547692,15.0
MLB,Georgia Institute of Technology,52,7540,0.6896551724137931,16.0
NBA,University of Maryland,41,4371,0.9380004575611988,16.0
NFL,University of Wisconsin at Madison,286,24459,1.1693037327773008,16.0
MLB,Clemson University,51,7540,0.6763925729442971,17.0
MLB,Texas A&M University,51,7540,0.6763925729442971,17.0
NBA,Marquette University,39,4371,0.8922443376801648,17.0
NBA,University of Southern California,39,4371,0.8922443376801648,17.0
NFL,University of Texas,285,24459,1.1652152581871704,17.0
MLB,Santa Clara University,50,7540,0.6631299734748011,18.0
NBA,DePaul University,36,4371,0.8236101578586137,18.0
NBA,Purdue University,36,4371,0.8236101578586137,18.0
NBA,University of Connecticut,36,4371,0.8236101578586137,18.0
NFL,University of Georgia,284,24459,1.16112678359704,18.0
MLB,University of South Carolina,47,7540,0.623342175066313,19.0
NBA,Georgia Institute of Technology,35,4371,0.8007320979180965,19.0
NBA,University of Memphis,35,4371,0.8007320979180965,19.0
NBA,University of Tennessee,35,4371,0.8007320979180965,19.0
NFL,Texas A&M University,272,24459,1.1120650885154748,19.0
MLB,Auburn University,45,7540,0.5968169761273209,20.0
MLB,University of Arkansas,45,7540,0.5968169761273209,20.0
NBA,Temple University,34,4371,0.7778540379775795,20.0
NBA,University of Cincinnati,34,4371,0.7778540379775795,20.0
NBA,University of Washington,34,4371,0.7778540379775795,20.0
NFL,University of Washington,271,24459,1.1079766139253444,20.0
MLB,California State University-Long Beach,44,7540,0.583554376657825,21.0
MLB,Mississippi State University,44,7540,0.583554376657825,21.0
MLB,Ohio State University,44,7540,0.583554376657825,21.0
NBA,Florida State University,33,4371,0.7549759780370624,21.0
NBA,University of California-Berkeley,33,4371,0.7549759780370624,21.0
NFL,Florida State University,269,24459,1.0997996647450836,21.0
MLB,California State University-Fresno,43,7540,0.5702917771883289,22.0
MLB,San Diego State University,43,7540,0.5702917771883289,22.0
NBA,Western Kentucky University,32,4371,0.7320979180965455,22.0
NFL,Purdue University,261,24459,1.0670918680240402,22.0
MLB,St. Mary's College of California,41,7540,0.5437665782493369,23.0
MLB,University of Tennessee,41,7540,0.5437665782493369,23.0
NBA,Stanford University,31,4371,0.7092198581560284,23.0
NBA,University of Nevada-Las Vegas,31,4371,0.7092198581560284,23.0
NBA,University of Utah,31,4371,0.7092198581560284,23.0
NFL,Auburn University,259,24459,1.0589149188437794,23.0
MLB,University of Mississippi,40,7540,0.5305039787798408,24.0
NBA,University of Florida,30,4371,0.6863417982155113,24.0
NBA,University of Iowa,30,4371,0.6863417982155113,24.0
NFL,University of Illinois,253,24459,1.0343840713029968,24.0
MLB,Baylor University,39,7540,0.5172413793103449,25.0
MLB,Fordham University,39,7540,0.5172413793103449,25.0
NBA,Oregon State University,29,4371,0.6634637382749943,25.0
NBA,Providence College,29,4371,0.6634637382749943,25.0
NBA,University of Arkansas,29,4371,0.6634637382749943,25.0
NBA,University of Oregon,29,4371,0.6634637382749943,25.0
NBA,University of Texas,29,4371,0.6634637382749943,25.0
NBA,Wake Forest University,29,4371,0.6634637382749943,25.0
NFL,University of Iowa,251,24459,1.026207122122736,25.0
MLB,Brown University,37,7540,0.49071618037135284,26.0
NBA,Seton Hall University,28,4371,0.6405856783344772,26.0
NBA,University of Alabama,28,4371,0.6405856783344772,26.0
NBA,University of Houston,28,4371,0.6405856783344772,26.0
NFL,Arizona State University,243,24459,0.9934993254016927,26.0
MLB,University of Georgia,36,7540,0.47745358090185674,27.0
MLB,Wichita State University,36,7540,0.47745358090185674,27.0
NBA,University of Missouri,27,4371,0.6177076183939602,27.0
NFL,University of California-Berkeley,238,24459,0.9730569524510405,27.0
MLB,North Carolina State University,35,7540,0.4641909814323607,28.0
MLB,Sacramento City College,35,7540,0.4641909814323607,28.0
MLB,Texas Christian University,35,7540,0.4641909814323607,28.0
MLB,University of Nebraska,35,7540,0.4641909814323607,28.0
NBA,University of Virginia,26,4371,0.5948295584534431,28.0
NFL,Stanford University,234,24459,0.9567030540905188,28.0
MLB,Duke University,34,7540,0.4509283819628647,29.0
MLB,Pepperdine University,34,7540,0.4509283819628647,29.0
MLB,University of Pennsylvania,34,7540,0.4509283819628647,29.0
MLB,Villanova University,34,7540,0.4509283819628647,29.0
NBA,Arizona State University,25,4371,0.5719514985129261,29.0
NBA,Boston College,25,4371,0.5719514985129261,29.0
NBA,Iowa State University,25,4371,0.5719514985129261,29.0
NBA,University of Wisconsin at Madison,25,4371,0.5719514985129261,29.0
NFL,University of Minnesota,229,24459,0.9362606811398668,29.0
MLB,Rice University,33,7540,0.43766578249336874,30.0
